Image,Labels
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\001.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\002.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\003.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\004.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\005.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\006.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\007.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\008.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\009.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\010.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\011.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\012.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\013.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\014.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\015.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\016.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\017.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\018.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\019.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\020.jpg,burger
E:\KLU\3rd year\3_2\deep learning\Deep Learning Programs\Food Classification\burger\021.jpg,burger
